CustomerID,City,Region,AcquisitionChannel,AgeGroup
1,North Eric,East,TikTok,18-25
2,New Lucas,West,App,46-60
3,South Charles,East,App,18-25
4,South Patrick,East,Instagram,36-45
5,Elizabethstad,East,Instagram,46-60
6,Michaelborough,South,App,36-45
7,Lake Melissamouth,West,Website,46-60
8,Joneschester,North,Instagram,36-45
9,Baileystad,East,Website,46-60
10,South Jonathantown,East,App,26-35
11,Barrymouth,South,App,18-25
12,East Lindafurt,East,TikTok,18-25
13,Alexischester,North,Website,18-25
14,Lake Laura,West,Website,18-25
15,Feliciaborough,West,Website,18-25
16,South Deniseberg,East,Website,18-25
17,Lake Brandyside,West,Website,18-25
18,East Billytown,West,TikTok,26-35
19,Hayston,West,Instagram,26-35
20,Stevenstown,West,Website,26-35
21,Christopherton,North,TikTok,36-45
22,Robertland,East,Instagram,26-35
23,Ninaview,West,Instagram,18-25
24,Edwardberg,South,Instagram,46-60
25,West Christinetown,West,App,18-25
26,Johnsonchester,North,Instagram,26-35
27,East Natasha,South,TikTok,26-35
28,Gilbertstad,North,TikTok,18-25
29,North Donald,West,Instagram,18-25
30,Michelebury,East,Website,26-35
31,Shawnmouth,South,App,18-25
32,Smithville,East,App,26-35
33,Robertsontown,South,Instagram,36-45
34,Schmidtfurt,South,App,26-35
35,Hawkinsshire,East,Website,26-35
36,Gonzalezburgh,North,Website,26-35
37,Lopezborough,West,Instagram,26-35
38,Ericburgh,North,TikTok,36-45
39,Lambburgh,North,TikTok,46-60
40,Garzafurt,East,App,26-35
41,Michellehaven,West,Instagram,46-60
42,Alexistown,North,App,26-35
43,West Bethanyberg,North,Website,26-35
44,Jasonburgh,West,App,36-45
45,Erinfort,East,Website,18-25
46,Prattbury,South,App,46-60
47,Brendafurt,South,Website,36-45
48,Lake Christopherview,East,TikTok,26-35
49,Bauerton,East,Instagram,36-45
50,Robertshire,West,Instagram,26-35
51,South Rickport,East,Instagram,18-25
52,West Juanfurt,East,Website,18-25
53,Reyesview,West,Instagram,46-60
54,Sheltonton,North,Website,46-60
55,Sanchezmouth,East,Instagram,26-35
56,North Angela,East,Website,18-25
57,Port Brent,East,Instagram,18-25
58,Sandersbury,South,TikTok,18-25
59,East Joann,South,Website,36-45
60,North Jason,South,TikTok,26-35
61,New Amandaland,North,Website,46-60
62,Andrewton,South,Instagram,26-35
63,Scottchester,South,TikTok,26-35
64,East Peterchester,South,App,36-45
65,West Stephanie,West,App,46-60
66,Lake Kyle,West,TikTok,36-45
67,Tannertown,North,App,26-35
68,South Kristopher,North,Instagram,26-35
69,Wolfhaven,South,TikTok,36-45
70,East Amandaland,East,TikTok,26-35
71,North Kristi,West,Instagram,26-35
72,Margaretshire,East,Instagram,36-45
73,North Randytown,South,TikTok,18-25
74,Port Erinfurt,East,App,18-25
75,New Philip,West,TikTok,18-25
76,Jenniferchester,West,Website,36-45
77,Michelleland,East,Website,26-35
78,Robinborough,North,App,36-45
79,Lake Paigemouth,North,Website,26-35
80,Alexanderstad,South,Instagram,26-35
81,Jakeberg,North,Website,26-35
82,West Jared,East,Website,26-35
83,North Dale,South,Instagram,26-35
84,Port Tonymouth,West,Instagram,46-60
85,Cookstad,South,App,18-25
86,North Amanda,North,TikTok,18-25
87,North Michellefort,West,Website,26-35
88,North Jessica,North,Website,18-25
89,New Kevin,West,Website,36-45
90,North Nicole,South,App,46-60
91,South William,East,App,46-60
92,South Amyburgh,South,App,46-60
93,Ramirezstad,South,App,18-25
94,New Emily,West,Website,46-60
95,Brandonville,East,Website,26-35
96,Derekbury,West,Website,18-25
97,Port Jacquelinefurt,West,App,26-35
98,Davisland,East,App,36-45
99,North Aprilfurt,East,Website,36-45
100,Ginaport,South,TikTok,18-25
101,Josephberg,North,Instagram,18-25
102,Dunnton,North,TikTok,18-25
103,New Sandra,West,TikTok,18-25
104,Taylorland,East,Website,18-25
105,Paulborough,West,App,18-25
106,South Elizabethborough,North,App,36-45
107,Mariahfurt,North,Website,18-25
108,Port Maria,North,Instagram,18-25
109,New Theresa,West,App,26-35
110,Ryanstad,West,App,36-45
111,Benjaminfort,West,Instagram,26-35
112,Michelleview,North,TikTok,36-45
113,North Darleneton,South,TikTok,46-60
114,Port Tiffanyton,South,Website,36-45
115,Derrickton,East,App,36-45
116,Robertbury,South,TikTok,26-35
117,Thomasland,South,App,18-25
118,Shelbychester,West,Instagram,36-45
119,Phillipsburgh,North,App,26-35
120,Lake Sydney,North,App,36-45
121,Williamsmouth,North,App,18-25
122,Meganbury,West,Website,26-35
123,South Karina,North,App,36-45
124,Colechester,East,Website,36-45
125,Port Alexandrafurt,West,TikTok,18-25
126,Amandaport,North,TikTok,18-25
127,Port Zachary,South,TikTok,36-45
128,Valentineland,East,Instagram,46-60
129,Williamsontown,South,App,36-45
130,South Tammyton,South,App,18-25
131,New Frank,South,TikTok,46-60
132,Lake Debra,South,Website,36-45
133,Ryanmouth,West,App,36-45
134,North Wendyburgh,South,TikTok,46-60
135,West Darrellbury,North,TikTok,36-45
136,New Danielberg,West,Website,26-35
137,Port Rodneymouth,West,App,18-25
138,Guzmanstad,North,Website,46-60
139,Sanchezfurt,South,TikTok,36-45
140,Bautistaport,North,TikTok,18-25
141,Lake Carriemouth,East,TikTok,36-45
142,South Steve,North,TikTok,36-45
143,Kathyport,North,App,26-35
144,Lake Eric,South,App,18-25
145,East Sylviashire,West,TikTok,18-25
146,North Kathleenton,South,App,26-35
147,Sallyberg,West,Instagram,26-35
148,Matthewfurt,East,Website,26-35
149,Port Tammy,West,Instagram,36-45
150,New Bruce,West,Website,46-60
151,North Heathertown,West,Website,26-35
152,Malloryport,South,Instagram,26-35
153,Krausemouth,West,Website,18-25
154,Johnshire,East,Website,26-35
155,North Jenniferview,South,TikTok,26-35
156,Mosleyland,West,Website,18-25
157,Tashaberg,South,Instagram,26-35
158,Gilmoremouth,South,Instagram,36-45
159,North Shawn,East,TikTok,26-35
160,Wilsonbury,North,Instagram,46-60
161,West Jamesbury,South,Instagram,26-35
162,North Patrick,North,App,26-35
163,Sarafurt,West,App,26-35
164,East Samuelland,East,Website,18-25
165,Cruzside,West,Website,36-45
166,Port Sandra,North,Website,36-45
167,Wagnerland,North,App,18-25
168,Port Pamelaport,West,Instagram,18-25
169,Carlsonchester,North,Instagram,26-35
170,Coxfort,East,App,36-45
171,West Angela,South,TikTok,26-35
